Date,Site,Treatment,Family,JuvFish
42409,Frenchman,H. stipulacea,Haemulidae,2
42409,Frenchman,H. stipulacea,Holocentridae,0
42409,Frenchman,H. stipulacea,Lutjanidae,2
42409,Frenchman,H. stipulacea,Mullidae,0
42409,Frenchman,H. stipulacea,Scaridae,0
42409,Frenchman,H. stipulacea,Sciaenidae,0
42409,Frenchman,S. filiforme,Haemulidae,0
42409,Frenchman,S. filiforme,Holocentridae,0
42409,Frenchman,S. filiforme,Lutjanidae,1
42409,Frenchman,S. filiforme,Mullidae,0
42409,Frenchman,S. filiforme,Scaridae,0
42409,Frenchman,S. filiforme,Sciaenidae,0
42409,Frenchman,Sand,Haemulidae,0
42409,Frenchman,Sand,Holocentridae,0
42409,Frenchman,Sand,Lutjanidae,0
42409,Frenchman,Sand,Mullidae,0
42409,Frenchman,Sand,Scaridae,0
42409,Frenchman,Sand,Sciaenidae,0
42409,Frenchman,T. testudinum,Haemulidae,0
42409,Frenchman,T. testudinum,Holocentridae,0
42409,Frenchman,T. testudinum,Lutjanidae,1
42409,Frenchman,T. testudinum,Mullidae,0
42409,Frenchman,T. testudinum,Scaridae,0
42409,Frenchman,T. testudinum,Sciaenidae,0
42409,Lindbergh,H. stipulacea,Haemulidae,1
42409,Lindbergh,H. stipulacea,Holocentridae,0
42409,Lindbergh,H. stipulacea,Lutjanidae,8
42409,Lindbergh,H. stipulacea,Mullidae,0
42409,Lindbergh,H. stipulacea,Scaridae,0
42409,Lindbergh,H. stipulacea,Sciaenidae,0
42409,Lindbergh,S. filiforme,Haemulidae,0
42409,Lindbergh,S. filiforme,Holocentridae,0
42409,Lindbergh,S. filiforme,Lutjanidae,2
42409,Lindbergh,S. filiforme,Mullidae,0
42409,Lindbergh,S. filiforme,Scaridae,0
42409,Lindbergh,S. filiforme,Sciaenidae,0
42409,Lindbergh,Sand,Haemulidae,0
42409,Lindbergh,Sand,Holocentridae,0
42409,Lindbergh,Sand,Lutjanidae,0
42409,Lindbergh,Sand,Mullidae,0
42409,Lindbergh,Sand,Scaridae,0
42409,Lindbergh,Sand,Sciaenidae,0
42409,Lindbergh,T. testudinum,Haemulidae,2
42409,Lindbergh,T. testudinum,Holocentridae,0
42409,Lindbergh,T. testudinum,Lutjanidae,0
42409,Lindbergh,T. testudinum,Mullidae,0
42409,Lindbergh,T. testudinum,Scaridae,1
42409,Lindbergh,T. testudinum,Sciaenidae,0
42409,Sprat,H. stipulacea,Haemulidae,0
42409,Sprat,H. stipulacea,Holocentridae,0
42409,Sprat,H. stipulacea,Lutjanidae,0
42409,Sprat,H. stipulacea,Mullidae,0
42409,Sprat,H. stipulacea,Scaridae,0
42409,Sprat,H. stipulacea,Sciaenidae,0
42409,Sprat,S. filiforme,Haemulidae,0
42409,Sprat,S. filiforme,Holocentridae,0
42409,Sprat,S. filiforme,Lutjanidae,0
42409,Sprat,S. filiforme,Mullidae,0
42409,Sprat,S. filiforme,Scaridae,0
42409,Sprat,S. filiforme,Sciaenidae,0
42409,Sprat,Sand,Haemulidae,0
42409,Sprat,Sand,Holocentridae,0
42409,Sprat,Sand,Lutjanidae,0
42409,Sprat,Sand,Mullidae,0
42409,Sprat,Sand,Scaridae,0
42409,Sprat,Sand,Sciaenidae,0
42409,Sprat,T. testudinum,Haemulidae,0
42409,Sprat,T. testudinum,Holocentridae,0
42409,Sprat,T. testudinum,Lutjanidae,0
42409,Sprat,T. testudinum,Mullidae,0
42409,Sprat,T. testudinum,Scaridae,1
42409,Sprat,T. testudinum,Sciaenidae,0
42410,Frenchman,H. stipulacea,Haemulidae,0
42410,Frenchman,H. stipulacea,Holocentridae,0
42410,Frenchman,H. stipulacea,Lutjanidae,0
42410,Frenchman,H. stipulacea,Mullidae,0
42410,Frenchman,H. stipulacea,Scaridae,0
42410,Frenchman,H. stipulacea,Sciaenidae,0
42410,Frenchman,S. filiforme,Haemulidae,0
42410,Frenchman,S. filiforme,Holocentridae,0
42410,Frenchman,S. filiforme,Lutjanidae,0
42410,Frenchman,S. filiforme,Mullidae,1
42410,Frenchman,S. filiforme,Scaridae,0
42410,Frenchman,S. filiforme,Sciaenidae,0
42410,Frenchman,Sand,Haemulidae,0
42410,Frenchman,Sand,Holocentridae,0
42410,Frenchman,Sand,Lutjanidae,0
42410,Frenchman,Sand,Mullidae,0
42410,Frenchman,Sand,Scaridae,0
42410,Frenchman,Sand,Sciaenidae,0
42410,Frenchman,T. testudinum,Haemulidae,0
42410,Frenchman,T. testudinum,Holocentridae,0
42410,Frenchman,T. testudinum,Lutjanidae,0
42410,Frenchman,T. testudinum,Mullidae,0
42410,Frenchman,T. testudinum,Scaridae,0
42410,Frenchman,T. testudinum,Sciaenidae,0
42410,Lindbergh,H. stipulacea,Haemulidae,0
42410,Lindbergh,H. stipulacea,Holocentridae,0
42410,Lindbergh,H. stipulacea,Lutjanidae,5
42410,Lindbergh,H. stipulacea,Mullidae,0
42410,Lindbergh,H. stipulacea,Scaridae,0
42410,Lindbergh,H. stipulacea,Sciaenidae,0
42410,Lindbergh,S. filiforme,Haemulidae,0
42410,Lindbergh,S. filiforme,Holocentridae,0
42410,Lindbergh,S. filiforme,Lutjanidae,0
42410,Lindbergh,S. filiforme,Mullidae,0
42410,Lindbergh,S. filiforme,Scaridae,0
42410,Lindbergh,S. filiforme,Sciaenidae,0
42410,Lindbergh,Sand,Haemulidae,0
42410,Lindbergh,Sand,Holocentridae,0
42410,Lindbergh,Sand,Lutjanidae,1
42410,Lindbergh,Sand,Mullidae,0
42410,Lindbergh,Sand,Scaridae,0
42410,Lindbergh,Sand,Sciaenidae,0
42410,Lindbergh,T. testudinum,Haemulidae,0
42410,Lindbergh,T. testudinum,Holocentridae,0
42410,Lindbergh,T. testudinum,Lutjanidae,1
42410,Lindbergh,T. testudinum,Mullidae,0
42410,Lindbergh,T. testudinum,Scaridae,1
42410,Lindbergh,T. testudinum,Sciaenidae,1
42410,Sprat,H. stipulacea,Haemulidae,1
42410,Sprat,H. stipulacea,Holocentridae,0
42410,Sprat,H. stipulacea,Lutjanidae,0
42410,Sprat,H. stipulacea,Mullidae,0
42410,Sprat,H. stipulacea,Scaridae,0
42410,Sprat,H. stipulacea,Sciaenidae,0
42410,Sprat,S. filiforme,Haemulidae,2
42410,Sprat,S. filiforme,Holocentridae,0
42410,Sprat,S. filiforme,Lutjanidae,0
42410,Sprat,S. filiforme,Mullidae,0
42410,Sprat,S. filiforme,Scaridae,0
42410,Sprat,S. filiforme,Sciaenidae,0
42410,Sprat,Sand,Haemulidae,0
42410,Sprat,Sand,Holocentridae,0
42410,Sprat,Sand,Lutjanidae,0
42410,Sprat,Sand,Mullidae,0
42410,Sprat,Sand,Scaridae,0
42410,Sprat,Sand,Sciaenidae,0
42410,Sprat,T. testudinum,Haemulidae,0
42410,Sprat,T. testudinum,Holocentridae,0
42410,Sprat,T. testudinum,Lutjanidae,0
42410,Sprat,T. testudinum,Mullidae,0
42410,Sprat,T. testudinum,Scaridae,0
42410,Sprat,T. testudinum,Sciaenidae,0
42411,Frenchman,H. stipulacea,Haemulidae,0
42411,Frenchman,H. stipulacea,Holocentridae,0
42411,Frenchman,H. stipulacea,Lutjanidae,2
42411,Frenchman,H. stipulacea,Mullidae,0
42411,Frenchman,H. stipulacea,Scaridae,0
42411,Frenchman,H. stipulacea,Sciaenidae,0
42411,Frenchman,S. filiforme,Haemulidae,0
42411,Frenchman,S. filiforme,Holocentridae,1
42411,Frenchman,S. filiforme,Lutjanidae,1
42411,Frenchman,S. filiforme,Mullidae,0
42411,Frenchman,S. filiforme,Scaridae,0
42411,Frenchman,S. filiforme,Sciaenidae,0
42411,Frenchman,Sand,Haemulidae,0
42411,Frenchman,Sand,Holocentridae,0
42411,Frenchman,Sand,Lutjanidae,0
42411,Frenchman,Sand,Mullidae,0
42411,Frenchman,Sand,Scaridae,0
42411,Frenchman,Sand,Sciaenidae,0
42411,Frenchman,T. testudinum,Haemulidae,0
42411,Frenchman,T. testudinum,Holocentridae,0
42411,Frenchman,T. testudinum,Lutjanidae,0
42411,Frenchman,T. testudinum,Mullidae,0
42411,Frenchman,T. testudinum,Scaridae,0
42411,Frenchman,T. testudinum,Sciaenidae,0
42411,Lindbergh,H. stipulacea,Haemulidae,0
42411,Lindbergh,H. stipulacea,Holocentridae,0
42411,Lindbergh,H. stipulacea,Lutjanidae,6
42411,Lindbergh,H. stipulacea,Mullidae,0
42411,Lindbergh,H. stipulacea,Scaridae,0
42411,Lindbergh,H. stipulacea,Sciaenidae,0
42411,Lindbergh,S. filiforme,Haemulidae,0
42411,Lindbergh,S. filiforme,Holocentridae,0
42411,Lindbergh,S. filiforme,Lutjanidae,1
42411,Lindbergh,S. filiforme,Mullidae,0
42411,Lindbergh,S. filiforme,Scaridae,0
42411,Lindbergh,S. filiforme,Sciaenidae,0
42411,Lindbergh,Sand,Haemulidae,0
42411,Lindbergh,Sand,Holocentridae,0
42411,Lindbergh,Sand,Lutjanidae,1
42411,Lindbergh,Sand,Mullidae,0
42411,Lindbergh,Sand,Scaridae,0
42411,Lindbergh,Sand,Sciaenidae,0
42411,Lindbergh,T. testudinum,Haemulidae,0
42411,Lindbergh,T. testudinum,Holocentridae,0
42411,Lindbergh,T. testudinum,Lutjanidae,1
42411,Lindbergh,T. testudinum,Mullidae,0
42411,Lindbergh,T. testudinum,Scaridae,0
42411,Lindbergh,T. testudinum,Sciaenidae,0
42411,Sprat,H. stipulacea,Haemulidae,0
42411,Sprat,H. stipulacea,Holocentridae,0
42411,Sprat,H. stipulacea,Lutjanidae,1
42411,Sprat,H. stipulacea,Mullidae,0
42411,Sprat,H. stipulacea,Scaridae,0
42411,Sprat,H. stipulacea,Sciaenidae,0
42411,Sprat,S. filiforme,Haemulidae,0
42411,Sprat,S. filiforme,Holocentridae,0
42411,Sprat,S. filiforme,Lutjanidae,0
42411,Sprat,S. filiforme,Mullidae,0
42411,Sprat,S. filiforme,Scaridae,0
42411,Sprat,S. filiforme,Sciaenidae,0
42411,Sprat,Sand,Haemulidae,0
42411,Sprat,Sand,Holocentridae,0
42411,Sprat,Sand,Lutjanidae,0
42411,Sprat,Sand,Mullidae,0
42411,Sprat,Sand,Scaridae,0
42411,Sprat,Sand,Sciaenidae,0
42411,Sprat,T. testudinum,Haemulidae,0
42411,Sprat,T. testudinum,Holocentridae,0
42411,Sprat,T. testudinum,Lutjanidae,0
42411,Sprat,T. testudinum,Mullidae,0
42411,Sprat,T. testudinum,Scaridae,1
42411,Sprat,T. testudinum,Sciaenidae,0
42412,Frenchman,H. stipulacea,Haemulidae,0
42412,Frenchman,H. stipulacea,Holocentridae,1
42412,Frenchman,H. stipulacea,Lutjanidae,1
42412,Frenchman,H. stipulacea,Mullidae,0
42412,Frenchman,H. stipulacea,Scaridae,0
42412,Frenchman,H. stipulacea,Sciaenidae,0
42412,Frenchman,S. filiforme,Haemulidae,0
42412,Frenchman,S. filiforme,Holocentridae,0
42412,Frenchman,S. filiforme,Lutjanidae,0
42412,Frenchman,S. filiforme,Mullidae,0
42412,Frenchman,S. filiforme,Scaridae,0
42412,Frenchman,S. filiforme,Sciaenidae,0
42412,Frenchman,Sand,Haemulidae,0
42412,Frenchman,Sand,Holocentridae,0
42412,Frenchman,Sand,Lutjanidae,0
42412,Frenchman,Sand,Mullidae,0
42412,Frenchman,Sand,Scaridae,0
42412,Frenchman,Sand,Sciaenidae,0
42412,Frenchman,T. testudinum,Haemulidae,0
42412,Frenchman,T. testudinum,Holocentridae,0
42412,Frenchman,T. testudinum,Lutjanidae,1
42412,Frenchman,T. testudinum,Mullidae,0
42412,Frenchman,T. testudinum,Scaridae,0
42412,Frenchman,T. testudinum,Sciaenidae,0
42412,Lindbergh,H. stipulacea,Haemulidae,0
42412,Lindbergh,H. stipulacea,Holocentridae,0
42412,Lindbergh,H. stipulacea,Lutjanidae,3
42412,Lindbergh,H. stipulacea,Mullidae,0
42412,Lindbergh,H. stipulacea,Scaridae,0
42412,Lindbergh,H. stipulacea,Sciaenidae,0
42412,Lindbergh,S. filiforme,Haemulidae,0
42412,Lindbergh,S. filiforme,Holocentridae,0
42412,Lindbergh,S. filiforme,Lutjanidae,1
42412,Lindbergh,S. filiforme,Mullidae,0
42412,Lindbergh,S. filiforme,Scaridae,0
42412,Lindbergh,S. filiforme,Sciaenidae,0
42412,Lindbergh,Sand,Haemulidae,0
42412,Lindbergh,Sand,Holocentridae,0
42412,Lindbergh,Sand,Lutjanidae,0
42412,Lindbergh,Sand,Mullidae,0
42412,Lindbergh,Sand,Scaridae,0
42412,Lindbergh,Sand,Sciaenidae,0
42412,Lindbergh,T. testudinum,Haemulidae,0
42412,Lindbergh,T. testudinum,Holocentridae,0
42412,Lindbergh,T. testudinum,Lutjanidae,0
42412,Lindbergh,T. testudinum,Mullidae,0
42412,Lindbergh,T. testudinum,Scaridae,1
42412,Lindbergh,T. testudinum,Sciaenidae,0
42412,Sprat,H. stipulacea,Haemulidae,0
42412,Sprat,H. stipulacea,Holocentridae,0
42412,Sprat,H. stipulacea,Lutjanidae,0
42412,Sprat,H. stipulacea,Mullidae,0
42412,Sprat,H. stipulacea,Scaridae,0
42412,Sprat,H. stipulacea,Sciaenidae,0
42412,Sprat,S. filiforme,Haemulidae,2
42412,Sprat,S. filiforme,Holocentridae,0
42412,Sprat,S. filiforme,Lutjanidae,0
42412,Sprat,S. filiforme,Mullidae,0
42412,Sprat,S. filiforme,Scaridae,0
42412,Sprat,S. filiforme,Sciaenidae,0
42412,Sprat,Sand,Haemulidae,3
42412,Sprat,Sand,Holocentridae,0
42412,Sprat,Sand,Lutjanidae,0
42412,Sprat,Sand,Mullidae,0
42412,Sprat,Sand,Scaridae,0
42412,Sprat,Sand,Sciaenidae,0
42412,Sprat,T. testudinum,Haemulidae,0
42412,Sprat,T. testudinum,Holocentridae,2
42412,Sprat,T. testudinum,Lutjanidae,0
42412,Sprat,T. testudinum,Mullidae,0
42412,Sprat,T. testudinum,Scaridae,0
42412,Sprat,T. testudinum,Sciaenidae,0
