"site","transect","habitat","month","depth","abundance"
"site2","transect2_site2","sand","July",14.8,11
"site2","transect2_site2","sand","September",16.5,19
"site2","transect3_site2","seagrass","May",1.5,109
"site2","transect3_site2","seagrass","July",0.9,54
"site2","transect3_site2","seagrass","September",0.9,88
"site2","transect3_site2","coral","May",9.9,79
"site2","transect3_site2","coral","July",7.8,57
"site2","transect3_site2","coral","September",8.4,17
"site2","transect3_site2","sand","May",15.5,2
"site2","transect3_site2","sand","July",15.8,46
"site2","transect3_site2","sand","September",13.9,15
"site2","transect4_site2","seagrass","May",2.6,72
"site2","transect4_site2","seagrass","July",4.3,56
"site2","transect4_site2","seagrass","September",1.6,51
"site2","transect4_site2","coral","May",6.6,114
"site2","transect4_site2","coral","July",9.3,89
"site2","transect4_site2","coral","September",8.3,96
"site2","transect4_site2","sand","May",16.2,5
"site2","transect4_site2","sand","July",14.4,28
"site2","transect4_site2","sand","September",15.6,32
"site3","transect1_site3","seagrass","May",2.2,26
"site3","transect1_site3","seagrass","July",4.2,13
"site3","transect1_site3","seagrass","September",2.2,27
"site3","transect1_site3","coral","May",8.2,42
"site3","transect1_site3","coral","July",9.7,39
"site3","transect1_site3","coral","September",8.2,37
"site3","transect1_site3","sand","May",14.9,5
"site3","transect1_site3","sand","July",15.9,12
"site3","transect1_site3","sand","September",15.4,4
"site3","transect2_site3","seagrass","May",4.1,52
"site3","transect2_site3","seagrass","July",3,32
"site3","transect2_site3","seagrass","September",1.4,44
"site3","transect2_site3","coral","May",8.4,128
"site3","transect2_site3","coral","July",6.5,252
"site3","transect2_site3","coral","September",7.3,63
"site3","transect2_site3","sand","May",16,1
"site3","transect2_site3","sand","July",15.2,3
"site3","transect2_site3","sand","September",14.6,21
"site3","transect3_site3","seagrass","May",2.7,68
"site3","transect3_site3","seagrass","July",3.8,147
"site3","transect3_site3","seagrass","September",3.5,111
"site3","transect3_site3","coral","May",8.6,17
"site3","transect3_site3","coral","July",7,118
"site3","transect3_site3","coral","September",6.8,19
"site3","transect3_site3","sand","May",16.9,1
"site3","transect3_site3","sand","July",13.2,20
"site3","transect3_site3","sand","September",14.7,15
"site3","transect4_site3","seagrass","May",1.7,77
"site3","transect4_site3","seagrass","July",0.8,21
"site3","transect4_site3","seagrass","September",0.7,16
"site3","transect4_site3","coral","May",8.8,55
"site3","transect4_site3","coral","July",7.8,58
"site3","transect4_site3","coral","September",8.4,27
"site3","transect4_site3","sand","May",13.8,11
"site3","transect4_site3","sand","July",13.4,5
"site3","transect4_site3","sand","September",14.4,5
"site4","transect1_site4","seagrass","May",1.2,21
"site4","transect1_site4","seagrass","July",3.9,36
"site4","transect1_site4","seagrass","September",1.1,7
"site4","transect1_site4","coral","May",9.8,23
"site4","transect1_site4","coral","July",7.5,40
"site4","transect1_site4","coral","September",6.1,44
"site4","transect1_site4","sand","May",14.4,9
"site4","transect1_site4","sand","July",15.1,7
"site4","transect1_site4","sand","September",14.6,5
"site4","transect2_site4","seagrass","May",2.2,28
"site4","transect2_site4","seagrass","July",1.1,39
"site4","transect2_site4","seagrass","September",0.9,56
"site4","transect2_site4","coral","May",9.2,49
"site4","transect2_site4","coral","July",9.2,29
"site4","transect2_site4","coral","September",7,30
"site4","transect2_site4","sand","May",16.1,13
"site4","transect2_site4","sand","July",16.9,10
"site4","transect2_site4","sand","September",16.3,3
"site4","transect3_site4","seagrass","May",3.4,11
"site4","transect3_site4","seagrass","July",2.4,18
"site4","transect3_site4","seagrass","September",1.8,50
"site4","transect3_site4","coral","May",9,8
"site4","transect3_site4","coral","July",6.6,10
"site4","transect3_site4","coral","September",9.1,8
"site4","transect3_site4","sand","May",14.5,0
"site4","transect3_site4","sand","July",15,3
"site4","transect3_site4","sand","September",14.7,6
"site4","transect4_site4","seagrass","May",4.3,9
"site4","transect4_site4","seagrass","July",1.7,12
"site4","transect4_site4","seagrass","September",1.9,10
"site4","transect4_site4","coral","May",6.4,2
"site4","transect4_site4","coral","July",6.9,7
"site4","transect4_site4","coral","September",6.1,11
"site4","transect4_site4","sand","May",16.5,0
"site4","transect4_site4","sand","July",16.5,4
"site4","transect4_site4","sand","September",13,5
"site5","transect1_site5","seagrass","May",0.8,19
"site5","transect1_site5","seagrass","July",1.8,9
"site5","transect1_site5","seagrass","September",0.8,29
"site5","transect1_site5","coral","May",9.7,26
"site5","transect1_site5","coral","July",9.8,22
"site5","transect1_site5","coral","September",7.9,3
"site5","transect1_site5","sand","May",15.9,2
"site5","transect1_site5","sand","July",13.5,16
"site5","transect1_site5","sand","September",16.5,6
"site5","transect2_site5","seagrass","May",2.7,4
"site5","transect2_site5","seagrass","July",1.1,67
"site5","transect2_site5","seagrass","September",2.6,52
"site5","transect2_site5","coral","May",6.7,45
"site5","transect2_site5","coral","July",7.3,34
"site5","transect2_site5","coral","September",7.6,23
"site5","transect2_site5","sand","May",16.8,5
"site5","transect2_site5","sand","July",13.8,6
"site5","transect2_site5","sand","September",15.3,2
"site5","transect3_site5","seagrass","May",2.2,5
"site5","transect3_site5","seagrass","July",0.9,31
"site5","transect3_site5","seagrass","September",3.9,30
"site5","transect3_site5","coral","May",8,28
"site5","transect3_site5","coral","July",9.3,38
"site5","transect3_site5","coral","September",6.8,29
"site5","transect3_site5","sand","May",15.5,3
"site5","transect3_site5","sand","July",13.2,2
"site5","transect3_site5","sand","September",16.5,2
"site5","transect4_site5","seagrass","May",1.4,100
"site5","transect4_site5","seagrass","July",0.8,21
"site5","transect4_site5","seagrass","September",1.9,29
"site5","transect4_site5","coral","May",6.5,16
"site5","transect4_site5","coral","July",7.6,19
"site5","transect4_site5","coral","September",6.5,11
"site5","transect4_site5","sand","May",14.7,4
"site5","transect4_site5","sand","July",14.9,2
"site5","transect4_site5","sand","September",15.6,16
"site6","transect1_site6","seagrass","May",3.7,8
"site6","transect1_site6","seagrass","July",1.9,44
"site6","transect1_site6","seagrass","September",2,47
"site6","transect1_site6","coral","May",9,12
"site6","transect1_site6","coral","July",9.6,18
"site6","transect1_site6","coral","September",8.4,40
"site6","transect1_site6","sand","May",14.3,5
"site6","transect1_site6","sand","July",14.7,14
"site6","transect1_site6","sand","September",13.1,5
"site6","transect2_site6","seagrass","May",2.5,17
"site6","transect2_site6","seagrass","July",1,61
"site6","transect2_site6","seagrass","September",4.2,42
"site6","transect2_site6","coral","May",8.7,21
"site6","transect2_site6","coral","July",9.4,21
"site6","transect2_site6","coral","September",9.7,8
"site6","transect2_site6","sand","May",14,0
"site6","transect2_site6","sand","July",15.4,7
"site6","transect2_site6","sand","September",13.1,5
"site6","transect3_site6","seagrass","May",2.3,42
"site6","transect3_site6","seagrass","July",1.8,46
"site6","transect3_site6","seagrass","September",1.3,54
"site6","transect3_site6","coral","May",7.9,24
"site6","transect3_site6","coral","July",8.3,17
"site6","transect3_site6","coral","September",9.3,18
"site6","transect3_site6","sand","May",15.4,10
"site6","transect3_site6","sand","July",15.1,11
"site6","transect3_site6","sand","September",16.7,7
"site6","transect4_site6","seagrass","May",1.5,19
"site6","transect4_site6","seagrass","July",2.9,27
"site6","transect4_site6","seagrass","September",1.7,15
"site6","transect4_site6","coral","May",8.1,15
"site6","transect4_site6","coral","July",9.8,32
"site6","transect4_site6","coral","September",6.7,9
"site6","transect4_site6","sand","May",14.9,6
"site6","transect4_site6","sand","July",13.6,7
"site6","transect4_site6","sand","September",14.7,3
