program,site,year,month,replicate,replicatetype,sppname,commonname,trophicgroup,counts
TCRMP,Black Point,2014,9,2,transect,Heteropriacanthus cruentatus,glasseye snapper,inv,1
TCRMP,Black Point,2014,9,2,transect,Lutjanus synagris,lane snapper,inv,3
TCRMP,Black Point,2014,9,2,transect,Pterois volitans,lionfish,pisc,2
TCRMP,Black Point,2014,9,2,transect,neoniphon marianus,longjaw squirrelfish,plank,2
TCRMP,Black Point,2014,9,2,transect,Sparisoma aurofrenatum,redband parrotfish,herb,8
TCRMP,Black Point,2014,9,2,transect,Lutjanus apodus,schoolmaster,inv,6
TCRMP,Black Point,2014,9,2,transect,Canthigaster rostrata,sharpnose puffer,inv,1
TCRMP,Black Point,2014,9,2,transect,Equetus punctatus,spotted drum,inv,1
TCRMP,Black Point,2014,9,2,transect,Holocentrus adscensionis,squirrelfish,inv,3
TCRMP,Black Point,2014,9,2,transect,Sparisoma viride,stoplight parrotfish,herb,13
TCRMP,Black Point,2014,9,2,transect,Scarus iseri,striped parrotfish,herb,46
TCRMP,Black Point,2014,9,2,transect,Stegastes planifrons,threespot damselfish,herb,7
TCRMP,Black Point,2014,9,2,transect,Haemulon aurolineatum,tomtate,inv,1
TCRMP,Black Point,2014,9,2,transect,Halichoeres garnoti,yellowhead wrasse,inv,1
TCRMP,Black Point,2014,9,2,transect,Ocyurus chrysurus,yellowtail snapper,pisc,1
TCRMP,Black Point,2014,9,3,transect,Hypoplectrus puella,barred hamlet,inv,4
TCRMP,Black Point,2014,9,3,transect,Stegastes leucostictus,beaugregory,herb,NA
TCRMP,Black Point,2014,9,3,transect,Chromis cyanea,blue chromis,plank,6
TCRMP,Black Point,2014,9,3,transect,Acanthurus coeruleus,blue tang,herb,2
TCRMP,Black Point,2014,9,3,transect,Thalassoma bifasciatum,bluehead wrasse,plank,17
TCRMP,Black Point,2014,9,3,transect,Chromis multilineata,brown chromis,plank,17
TCRMP,Black Point,2014,9,3,transect,Clepticus parrae,creole wrasse,plank,15
TCRMP,Black Point,2014,9,3,transect,Acanthurus chirurgus,doctorfish,herb,3
TCRMP,Black Point,2014,9,3,transect,Stegastes adustus,dusky damselfish,herb,8
TCRMP,Black Point,2014,9,3,transect,Gramma loreto,fairy basslet,inv,2
TCRMP,Black Point,2014,9,3,transect,Pomacanthus paru,French angel,inv,1
TCRMP,Black Point,2014,9,3,transect,Haemulon flavolineatum,French grunt,inv,1
TCRMP,Black Point,2014,9,3,transect,Cephalopholis cruentata,graysby,pisc,8
TCRMP,Black Point,2014,9,3,transect,Scarus taeniopterus,princess parrotfish,herb,39
TCRMP,Black Point,2014,9,3,transect,Epinephelus guttatus,red hind,pisc,1
TCRMP,Black Point,2014,9,3,transect,Sparisoma aurofrenatum,redband parrotfish,herb,8
TCRMP,Black Point,2014,9,3,transect,Lutjanus apodus,schoolmaster,inv,6
TCRMP,Black Point,2014,9,3,transect,Canthigaster rostrata,sharpnose puffer,inv,5
TCRMP,Black Point,2014,9,3,transect,Equetus punctatus,spotted drum,inv,1
TCRMP,Black Point,2014,9,3,transect,Sparisoma viride,stoplight parrotfish,herb,12
TCRMP,Black Point,2014,9,3,transect,Stegastes planifrons,threespot damselfish,herb,66
TCRMP,Black Point,2014,9,3,transect,Haemulon aurolineatum,tomtate,inv,3
TCRMP,Black Point,2014,9,3,transect,Aulostomus maculatus,trumpetfish,inv,1
TCRMP,Black Point,2014,9,3,transect,Halichoeres garnoti,yellowhead wrasse,inv,5
TCRMP,Black Point,2014,9,4,transect,Caranx ruber,bar jack,inv,12
TCRMP,Black Point,2014,9,4,transect,Stegastes leucostictus,beaugregory,herb,2
TCRMP,Black Point,2014,9,4,transect,Chromis cyanea,blue chromis,plank,3
TCRMP,Black Point,2014,9,4,transect,Thalassoma bifasciatum,bluehead wrasse,plank,4
TCRMP,Black Point,2014,9,4,transect,Chromis multilineata,brown chromis,plank,24
TCRMP,Black Point,2014,9,4,transect,Acanthurus chirurgus,doctorfish,herb,3
TCRMP,Black Point,2014,9,4,transect,Stegastes adustus,dusky damselfish,herb,4
TCRMP,Black Point,2014,9,4,transect,Cephalopholis cruentata,graysby,pisc,2
TCRMP,Black Point,2014,9,4,transect,neoniphon marianus,longjaw squirrelfish,plank,1
TCRMP,Black Point,2014,9,4,transect,Holocentrus rufus,longspine squirrelfish,inv,1
TCRMP,Black Point,2014,9,4,transect,Lutjanus mahogoni,mahogany snapper,inv,21
TCRMP,Black Point,2014,9,4,transect,Scarus taeniopterus,princess parrotfish,herb,38
TCRMP,Black Point,2014,9,4,transect,Sparisoma aurofrenatum,redband parrotfish,herb,3
TCRMP,Black Point,2014,9,4,transect,Calamus calamus,saucereye porgy,inv,1
TCRMP,Black Point,2014,9,4,transect,Lutjanus apodus,schoolmaster,inv,16
TCRMP,Black Point,2014,9,4,transect,Canthigaster rostrata,sharpnose puffer,inv,1
TCRMP,Black Point,2014,9,4,transect,Bodianus rufus,Spanish hogfish,inv,1
TCRMP,Black Point,2014,9,4,transect,Equetus punctatus,spotted drum,inv,1
TCRMP,Black Point,2014,9,4,transect,Sparisoma viride,stoplight parrotfish,herb,18
TCRMP,Black Point,2014,9,4,transect,Stegastes planifrons,threespot damselfish,herb,58
TCRMP,Black Point,2014,9,4,transect,Haemulon plumierii,white grunt,inv,2
TCRMP,Black Point,2014,9,4,transect,Halichoeres garnoti,yellowhead wrasse,inv,3
TCRMP,Black Point,2014,9,4,transect,Hypoplectrus chlorurus,yellowtail hamlet,inv,1
TCRMP,Black Point,2014,9,5,transect,Stegastes leucostictus,beaugregory,herb,3
TCRMP,Black Point,2014,9,5,transect,Chromis cyanea,blue chromis,plank,1
TCRMP,Black Point,2014,9,5,transect,Hypoplectrus gemma,blue hamlet,inv,1
TCRMP,Black Point,2014,9,5,transect,Thalassoma bifasciatum,bluehead wrasse,plank,4
TCRMP,Black Point,2014,9,5,transect,Chromis multilineata,brown chromis,plank,6
TCRMP,Black Point,2014,9,5,transect,Acanthurus chirurgus,doctorfish,herb,2
TCRMP,Black Point,2014,9,5,transect,Stegastes adustus,dusky damselfish,herb,3
TCRMP,Black Point,2014,9,5,transect,Haemulon flavolineatum,French grunt,inv,1
TCRMP,Black Point,2014,9,5,transect,Cephalopholis cruentata,graysby,pisc,10
TCRMP,Black Point,2014,9,5,transect,Hypoplectrus indigo,indigo hamlet,inv,1
TCRMP,Black Point,2014,9,5,transect,Hypoplectrus indigo,indigo hamlet,inv,1
TCRMP,Black Point,2014,9,5,transect,Scarus taeniopterus,princess parrotfish,herb,52
TCRMP,Black Point,2014,9,5,transect,Sparisoma aurofrenatum,redband parrotfish,herb,8
TCRMP,Black Point,2014,9,5,transect,Sparisoma viride,stoplight parrotfish,herb,15
TCRMP,Black Point,2014,9,5,transect,Scarus iseri,striped parrotfish,herb,2
TCRMP,Black Point,2014,9,5,transect,Stegastes planifrons,threespot damselfish,herb,57
TCRMP,Black Point,2014,9,5,transect,Serranus tabacarius,tobaccofish,inv,1
TCRMP,Black Point,2014,9,5,transect,Hypoplectrus aberrans,yellowbelly hamlet,inv,1
TCRMP,Black Point,2014,9,5,transect,Halichoeres garnoti,yellowhead wrasse,inv,2
TCRMP,Black Point,2014,9,5,transect,Hypoplectrus chlorurus,yellowtail hamlet,inv,1
TCRMP,Black Point,2014,9,6,transect,Hypoplectrus puella,barred hamlet,inv,1
TCRMP,Black Point,2014,9,6,transect,Acanthurus coeruleus,blue tang,herb,7
TCRMP,Black Point,2014,9,6,transect,Thalassoma bifasciatum,bluehead wrasse,plank,7
TCRMP,Black Point,2014,9,6,transect,Haemulon carbonarium,Caesar grunt,inv,1
TCRMP,Black Point,2014,9,6,transect,Stegastes variabilis,cocoa damselfish,herb,5
TCRMP,Black Point,2014,9,6,transect,Stegastes adustus,dusky damselfish,herb,14
TCRMP,Black Point,2014,9,6,transect,Cephalopholis cruentata,graysby,pisc,1
TCRMP,Black Point,2014,9,6,transect,Acanthurus bahianus,ocean surgeonfish,herb,1
TCRMP,Black Point,2014,9,6,transect,Scarus taeniopterus,princess parrotfish,herb,5
TCRMP,Black Point,2014,9,6,transect,Epinephelus guttatus,red hind,pisc,1
TCRMP,Black Point,2014,9,6,transect,Canthigaster rostrata,sharpnose puffer,inv,1
TCRMP,Black Point,2014,9,6,transect,Pseudupeneus maculatus,spotted goatfish,inv,2
TCRMP,Black Point,2014,9,6,transect,Sparisoma viride,stoplight parrotfish,herb,36
TCRMP,Black Point,2014,9,6,transect,Scarus iseri,striped parrotfish,herb,26
TCRMP,Black Point,2014,9,6,transect,Stegastes planifrons,threespot damselfish,herb,7
TCRMP,Black Point,2014,9,6,transect,Microspathodon chrysurus,yellowtail damselfish,herb,1
TCRMP,Black Point,2014,12,7,transect,Caranx ruber,bar jack,inv,3
TCRMP,Black Point,2014,12,7,transect,Hypoplectrus puella,barred hamlet,inv,1
TCRMP,Black Point,2014,12,7,transect,Stegastes leucostictus,beaugregory,herb,2
TCRMP,Black Point,2014,12,7,transect,Hypoplectrus nigricans,black hamlet,inv,1
TCRMP,Black Point,2014,12,7,transect,Acanthurus coeruleus,blue tang,herb,3
TCRMP,Black Point,2014,12,7,transect,Thalassoma bifasciatum,bluehead wrasse,plank,26
TCRMP,Black Point,2014,12,7,transect,Serranus tortugarum,chalk bass,plank,1
TCRMP,Black Point,2014,12,7,transect,Acanthurus chirurgus,doctorfish,herb,2
TCRMP,Black Point,2014,12,7,transect,Stegastes adustus,dusky damselfish,herb,2
TCRMP,Black Point,2014,12,7,transect,Chaetodon capistratus,foureye butterflyfish,inv,1
TCRMP,Black Point,2014,12,7,transect,Haemulon flavolineatum,French grunt,inv,1
TCRMP,Black Point,2014,12,7,transect,Cephalopholis cruentata,graysby,pisc,1
TCRMP,Black Point,2014,12,7,transect,Holocentrus rufus,longspine squirrelfish,inv,1
TCRMP,Black Point,2014,12,7,transect,Acanthurus bahianus,ocean surgeonfish,herb,2
TCRMP,Black Point,2014,12,7,transect,Sparisoma aurofrenatum,redband parrotfish,herb,2
TCRMP,Black Point,2014,12,7,transect,Sparisoma aurofrenatum,redband parrotfish,herb,22
TCRMP,Black Point,2014,12,7,transect,Canthigaster rostrata,sharpnose puffer,inv,1
TCRMP,Black Point,2014,12,7,transect,Canthigaster rostrata,sharpnose puffer,inv,2
TCRMP,Black Point,2014,12,7,transect,Holocentrus adscensionis,squirrelfish,inv,2
TCRMP,Black Point,2014,12,7,transect,Sparisoma viride,stoplight parrotfish,herb,5
TCRMP,Black Point,2014,12,7,transect,Scarus iseri,striped parrotfish,herb,75
TCRMP,Black Point,2014,12,7,transect,Scarus iseri,striped parrotfish,herb,37
TCRMP,Black Point,2014,12,7,transect,Stegastes planifrons,threespot damselfish,herb,10
TCRMP,Black Point,2014,12,7,transect,Halichoeres garnoti,yellowhead wrasse,inv,3
TCRMP,Black Point,2014,12,7,transect,Sparisoma rubripinne,yellowtail parrotfish,herb,1
TCRMP,Black Point,2014,12,8,transect,Caranx ruber,bar jack,inv,1
TCRMP,Black Point,2014,12,8,transect,Hypoplectrus puella,barred hamlet,inv,2
TCRMP,Black Point,2014,12,8,transect,Hypoplectrus nigricans,black hamlet,inv,2
TCRMP,Black Point,2014,12,8,transect,Acanthurus coeruleus,blue tang,herb,7
TCRMP,Black Point,2014,12,8,transect,Thalassoma bifasciatum,bluehead wrasse,plank,15
TCRMP,Black Point,2014,12,8,transect,Acanthurus chirurgus,doctorfish,herb,5
TCRMP,Black Point,2014,12,8,transect,Acanthurus chirurgus,doctorfish,herb,4
TCRMP,Black Point,2014,12,8,transect,Stegastes adustus,dusky damselfish,herb,3
TCRMP,Black Point,2014,12,8,transect,Haemulon flavolineatum,French grunt,inv,4
TCRMP,Black Point,2014,12,8,transect,Cephalopholis cruentata,graysby,pisc,1
TCRMP,Black Point,2014,12,8,transect,Acanthurus bahianus,ocean surgeonfish,herb,4
TCRMP,Black Point,2014,12,8,transect,Scarus taeniopterus,princess parrotfish,herb,1
TCRMP,Black Point,2014,12,8,transect,Sparisoma aurofrenatum,redband parrotfish,herb,10
TCRMP,Black Point,2014,12,8,transect,Halichoeres bivittatus,slippery dick,inv,14
TCRMP,Black Point,2014,12,8,transect,Pseudupeneus maculatus,spotted goatfish,inv,1
TCRMP,Black Point,2014,12,8,transect,Pseudupeneus maculatus,spotted goatfish,inv,2
TCRMP,Black Point,2014,12,8,transect,Sparisoma viride,stoplight parrotfish,herb,8
TCRMP,Black Point,2014,12,8,transect,Scarus iseri,striped parrotfish,herb,63
TCRMP,Black Point,2014,12,8,transect,Stegastes planifrons,threespot damselfish,herb,7
TCRMP,Black Point,2014,12,8,transect,Haemulon aurolineatum,tomtate,inv,1
TCRMP,Black Point,2014,12,8,transect,Halichoeres garnoti,yellowhead wrasse,inv,33
TCRMP,Black Point,2014,12,8,transect,Sparisoma rubripinne,yellowtail parrotfish,herb,4
TCRMP,Black Point,2014,12,9,transect,Caranx ruber,bar jack,inv,1
TCRMP,Black Point,2014,12,9,transect,Hypoplectrus puella,barred hamlet,inv,1
TCRMP,Black Point,2014,12,9,transect,Hypoplectrus puella,barred hamlet,inv,2
TCRMP,Black Point,2014,12,9,transect,Stegastes leucostictus,beaugregory,herb,2
TCRMP,Black Point,2014,12,9,transect,Hypoplectrus nigricans,black hamlet,inv,2
TCRMP,Black Point,2014,12,9,transect,Acanthurus coeruleus,blue tang,herb,16
TCRMP,Black Point,2014,12,9,transect,Thalassoma bifasciatum,bluehead wrasse,plank,11
TCRMP,Black Point,2014,12,9,transect,Chromis multilineata,brown chromis,plank,18
TCRMP,Black Point,2014,12,9,transect,Stegastes adustus,dusky damselfish,herb,24
TCRMP,Black Point,2014,12,9,transect,Chaetodon capistratus,foureye butterflyfish,inv,2
TCRMP,Black Point,2014,12,9,transect,Haemulon flavolineatum,French grunt,inv,3
TCRMP,Black Point,2014,12,9,transect,Cephalopholis cruentata,graysby,pisc,6
TCRMP,Black Point,2014,12,9,transect,Scarus taeniopterus,princess parrotfish,herb,5
TCRMP,Black Point,2014,12,9,transect,Scarus vetula,queen parrotfish,herb,5
TCRMP,Black Point,2014,12,9,transect,Sparisoma aurofrenatum,redband parrotfish,herb,7
TCRMP,Black Point,2014,12,9,transect,Synodus intermedius,sand diver,pisc,1
TCRMP,Black Point,2014,12,9,transect,Lutjanus apodus,schoolmaster,inv,10
TCRMP,Black Point,2014,12,9,transect,Canthigaster rostrata,sharpnose puffer,inv,1
TCRMP,Black Point,2014,12,9,transect,Canthigaster rostrata,sharpnose puffer,inv,2
TCRMP,Black Point,2014,12,9,transect,Equetus punctatus,spotted drum,inv,1
TCRMP,Black Point,2014,12,9,transect,Sparisoma viride,stoplight parrotfish,herb,1
TCRMP,Black Point,2014,12,9,transect,Haemulon striatum,striped grunt,inv,1
TCRMP,Black Point,2014,12,9,transect,Scarus iseri,striped parrotfish,herb,12
TCRMP,Black Point,2014,12,9,transect,Scarus iseri,striped parrotfish,herb,12
TCRMP,Black Point,2014,12,9,transect,Stegastes planifrons,threespot damselfish,herb,18
TCRMP,Black Point,2014,12,9,transect,Mulloidichthys martinicus,yellow goatfish,inv,2
TCRMP,Black Point,2014,9,10,transect,Stegastes leucostictus,beaugregory,herb,6
TCRMP,Black Point,2014,9,10,transect,Hypoplectrus nigricans,black hamlet,inv,2
TCRMP,Black Point,2014,9,10,transect,Caranx crysos,blue runner,inv,1
TCRMP,Black Point,2014,9,10,transect,Acanthurus coeruleus,blue tang,herb,3
TCRMP,Black Point,2014,9,10,transect,Thalassoma bifasciatum,bluehead wrasse,plank,17
TCRMP,Black Point,2014,9,10,transect,Hypoplectrus unicolor,butter hamlet,inv,1
TCRMP,Black Point,2014,9,10,transect,Stegastes adustus,dusky damselfish,herb,2
TCRMP,Black Point,2014,9,10,transect,Chaetodon capistratus,foureye butterflyfish,inv,1
TCRMP,Black Point,2014,9,10,transect,Haemulon flavolineatum,French grunt,inv,2
TCRMP,Black Point,2014,9,10,transect,Cephalopholis cruentata,graysby,pisc,9
TCRMP,Black Point,2014,9,10,transect,Hypoplectrus indigo,indigo hamlet,inv,1
TCRMP,Black Point,2014,9,10,transect,Sparisoma aurofrenatum,redband parrotfish,herb,8
TCRMP,Black Point,2014,9,10,transect,Canthigaster rostrata,sharpnose puffer,inv,3
TCRMP,Black Point,2014,9,10,transect,Pseudupeneus maculatus,spotted goatfish,inv,1
TCRMP,Black Point,2014,9,10,transect,Sparisoma viride,stoplight parrotfish,herb,2
TCRMP,Black Point,2014,9,10,transect,Scarus iseri,striped parrotfish,herb,61
TCRMP,Black Point,2014,9,10,transect,Stegastes planifrons,threespot damselfish,herb,33
TCRMP,Black Point,2014,9,10,transect,Serranus tabacarius,tobaccofish,inv,1
TCRMP,Black Point,2014,9,10,transect,Haemulon aurolineatum,tomtate,inv,1
TCRMP,Black Point,2014,9,10,transect,Aulostomus maculatus,trumpetfish,inv,2
TCRMP,Black Point,2014,9,10,transect,Halichoeres garnoti,yellowhead wrasse,inv,2
TCRMP,Black Point,2014,9,10,transect,Hypoplectrus chlorurus,yellowtail hamlet,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Hypoplectrus puella,barred hamlet,inv,5
TCRMP,Botany Bay,2014,11,1,transect,Stegastes leucostictus,beaugregory,herb,1
TCRMP,Botany Bay,2014,11,1,transect,Hypoplectrus nigricans,black hamlet,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Chromis cyanea,blue chromis,plank,28
TCRMP,Botany Bay,2014,11,1,transect,Acanthurus coeruleus,blue tang,herb,1
TCRMP,Botany Bay,2014,11,1,transect,Thalassoma bifasciatum,bluehead wrasse,plank,1
TCRMP,Botany Bay,2014,11,1,transect,Chromis multilineata,brown chromis,plank,32
TCRMP,Botany Bay,2014,11,1,transect,Hypoplectrus unicolor,butter hamlet,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Scomberomorus regalis,cero,pisc,1
TCRMP,Botany Bay,2014,11,1,transect,Cephalopholis fulva,coney,pisc,3
TCRMP,Botany Bay,2014,11,1,transect,Stegastes adustus,dusky damselfish,herb,4
TCRMP,Botany Bay,2014,11,1,transect,Gramma loreto,fairy basslet,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Chaetodon capistratus,foureye butterflyfish,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Haemulon flavolineatum,French grunt,inv,6
TCRMP,Botany Bay,2014,11,1,transect,Lutjanus mahogoni,mahogany snapper,inv,4
TCRMP,Botany Bay,2014,11,1,transect,Sparisoma aurofrenatum,redband parrotfish,herb,7
TCRMP,Botany Bay,2014,11,1,transect,Canthigaster rostrata,sharpnose puffer,inv,2
TCRMP,Botany Bay,2014,11,1,transect,Pseudupeneus maculatus,spotted goatfish,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Holocentrus adscensionis,squirrelfish,inv,1
TCRMP,Botany Bay,2014,11,1,transect,Sparisoma viride,stoplight parrotfish,herb,7
TCRMP,Botany Bay,2014,11,1,transect,Scarus iseri,striped parrotfish,herb,36
TCRMP,Botany Bay,2014,11,1,transect,Stegastes planifrons,threespot damselfish,herb,2
TCRMP,Botany Bay,2014,11,1,transect,Halichoeres garnoti,yellowhead wrasse,inv,18
TCRMP,Botany Bay,2014,11,2,transect,Caranx ruber,bar jack,inv,1
TCRMP,Botany Bay,2014,11,2,transect,Stegastes leucostictus,beaugregory,herb,2
TCRMP,Botany Bay,2014,11,2,transect,Stegastes partitus,bicolor damselfish,herb,1
TCRMP,Botany Bay,2014,11,2,transect,Hypoplectrus nigricans,black hamlet,inv,3
TCRMP,Botany Bay,2014,11,2,transect,Chromis cyanea,blue chromis,plank,6
TCRMP,Botany Bay,2014,11,2,transect,Acanthurus coeruleus,blue tang,herb,3
TCRMP,Botany Bay,2014,11,2,transect,Thalassoma bifasciatum,bluehead wrasse,plank,7
TCRMP,Botany Bay,2014,11,2,transect,Chromis multilineata,brown chromis,plank,25
TCRMP,Botany Bay,2014,11,2,transect,Haemulon carbonarium,Caesar grunt,inv,1
TCRMP,Botany Bay,2014,11,2,transect,Cephalopholis fulva,coney,pisc,6
TCRMP,Botany Bay,2014,11,2,transect,Stegastes adustus,dusky damselfish,herb,14
TCRMP,Botany Bay,2014,11,2,transect,Serranus tigrinus,harlequin bass,inv,2
TCRMP,Botany Bay,2014,11,2,transect,Acanthurus bahianus,ocean surgeonfish,herb,4
TCRMP,Botany Bay,2014,11,2,transect,Scarus vetula,queen parrotfish,herb,6
TCRMP,Botany Bay,2014,11,2,transect,Sparisoma aurofrenatum,redband parrotfish,herb,7
TCRMP,Botany Bay,2014,11,2,transect,Pseudupeneus maculatus,spotted goatfish,inv,2
TCRMP,Botany Bay,2014,11,2,transect,Holocentrus adscensionis,squirrelfish,inv,1
TCRMP,Botany Bay,2014,11,2,transect,Sparisoma viride,stoplight parrotfish,herb,5
TCRMP,Botany Bay,2014,11,2,transect,Scarus iseri,striped parrotfish,herb,36
TCRMP,Botany Bay,2014,11,2,transect,Stegastes planifrons,threespot damselfish,herb,5
TCRMP,Botany Bay,2014,11,2,transect,Aulostomus maculatus,trumpetfish,inv,1
TCRMP,Botany Bay,2014,11,2,transect,Halichoeres garnoti,yellowhead wrasse,inv,20
TCRMP,Botany Bay,2014,11,2,transect,Microspathodon chrysurus,yellowtail damselfish,herb,3
TCRMP,Botany Bay,2014,11,3,transect,Caranx ruber,bar jack,inv,1
TCRMP,Botany Bay,2014,11,3,transect,Stegastes leucostictus,beaugregory,herb,6
TCRMP,Botany Bay,2014,11,3,transect,Chromis cyanea,blue chromis,plank,14
TCRMP,Botany Bay,2014,11,3,transect,Acanthurus coeruleus,blue tang,herb,1
TCRMP,Botany Bay,2014,11,3,transect,Chromis multilineata,brown chromis,plank,1
TCRMP,Botany Bay,2014,11,3,transect,Stegastes variabilis,cocoa damselfish,herb,2
TCRMP,Botany Bay,2014,11,3,transect,Cephalopholis fulva,coney,pisc,1
TCRMP,Botany Bay,2014,11,3,transect,Clepticus parrae,creole wrasse,plank,2
TCRMP,Botany Bay,2014,11,3,transect,Gramma loreto,fairy basslet,inv,2
TCRMP,Botany Bay,2014,11,3,transect,Chaetodon capistratus,foureye butterflyfish,inv,2
TCRMP,Botany Bay,2014,11,3,transect,Cephalopholis cruentata,graysby,pisc,1
TCRMP,Botany Bay,2014,11,3,transect,Hypoplectrus sp,hamlet sp,inv,1
TCRMP,Botany Bay,2014,11,3,transect,Serranus tigrinus,harlequin bass,inv,1
TCRMP,Botany Bay,2014,11,3,transect,Sparisoma aurofrenatum,redband parrotfish,herb,11
TCRMP,Botany Bay,2014,11,3,transect,Canthigaster rostrata,sharpnose puffer,inv,2
TCRMP,Botany Bay,2014,11,3,transect,Hypoplectrus guttavarius,shy hamlet,inv,1
TCRMP,Botany Bay,2014,11,3,transect,Sparisoma viride,stoplight parrotfish,herb,2
TCRMP,Botany Bay,2014,11,3,transect,Scarus iseri,striped parrotfish,herb,18
TCRMP,Botany Bay,2014,11,3,transect,Stegastes planifrons,threespot damselfish,herb,1
TCRMP,Botany Bay,2014,11,3,transect,Cantherhines macrocerus,whitespotted filefish,inv,2
TCRMP,Botany Bay,2014,11,3,transect,Gerres cinereus,yellowfin mojarra,inv,1
TCRMP,Botany Bay,2014,11,3,transect,Halichoeres garnoti,yellowhead wrasse,inv,9
TCRMP,Botany Bay,2014,11,3,transect,Hypoplectrus chlorurus,yellowtail hamlet,inv,2
TCRMP,Botany Bay,2014,11,4,transect,Hypoplectrus puella,barred hamlet,inv,2
TCRMP,Botany Bay,2014,11,4,transect,Stegastes leucostictus,beaugregory,herb,7
TCRMP,Botany Bay,2014,11,4,transect,Hypoplectrus nigricans,black hamlet,inv,1
TCRMP,Botany Bay,2014,11,4,transect,Chromis cyanea,blue chromis,plank,11
TCRMP,Botany Bay,2014,11,4,transect,Acanthurus coeruleus,blue tang,herb,2
TCRMP,Botany Bay,2014,11,4,transect,Chromis multilineata,brown chromis,plank,17
TCRMP,Botany Bay,2014,11,4,transect,Hypoplectrus unicolor,butter hamlet,inv,2
TCRMP,Botany Bay,2014,11,4,transect,Cephalopholis fulva,coney,pisc,2
TCRMP,Botany Bay,2014,11,4,transect,Clepticus parrae,creole wrasse,plank,36
TCRMP,Botany Bay,2014,11,4,transect,Gramma loreto,fairy basslet,inv,3
TCRMP,Botany Bay,2014,11,4,transect,Holocentrus rufus,longspine squirrelfish,inv,1
TCRMP,Botany Bay,2014,11,4,transect,Halichoeres pictus,rainbow wrasse,inv,1
TCRMP,Botany Bay,2014,11,4,transect,Sparisoma aurofrenatum,redband parrotfish,herb,8
TCRMP,Botany Bay,2014,11,4,transect,Hypoplectrus guttavarius,shy hamlet,inv,2
TCRMP,Botany Bay,2014,11,4,transect,Equetus punctatus,spotted drum,inv,2
TCRMP,Botany Bay,2014,11,4,transect,Sparisoma viride,stoplight parrotfish,herb,3
TCRMP,Botany Bay,2014,11,4,transect,Scarus iseri,striped parrotfish,herb,22
TCRMP,Botany Bay,2014,11,4,transect,Aulostomus maculatus,trumpetfish,inv,1
TCRMP,Botany Bay,2014,11,4,transect,Gerres cinereus,yellowfin mojarra,inv,4
TCRMP,Botany Bay,2014,11,4,transect,Halichoeres garnoti,yellowhead wrasse,inv,12
TCRMP,Botany Bay,2014,11,5,transect,Caranx ruber,bar jack,inv,1
TCRMP,Botany Bay,2014,11,5,transect,Hypoplectrus puella,barred hamlet,inv,3
TCRMP,Botany Bay,2014,11,5,transect,Stegastes leucostictus,beaugregory,herb,4
TCRMP,Botany Bay,2014,11,5,transect,Stegastes partitus,bicolor damselfish,herb,8
