Population,pH_Level,Growth_Rate
Pop_2,Moderate,0.8513267433113356
Pop_2,Moderate,0.8097077549348041
Pop_2,Moderate,0.896864499053289
Pop_2,Moderate,0.7297946906122648
Pop_2,Moderate,0.7672337853402232
Pop_2,Moderate,0.7607891846867842
Pop_2,Moderate,0.6536485051867882
Pop_2,Moderate,0.8296120277064577
Pop_2,Moderate,0.826105527217989
Pop_2,Moderate,0.8005113456642461
Pop_2,Moderate,0.7765412866624853
Pop_2,High,0.25846292579495855
Pop_2,High,0.35793546772346413
Pop_2,High,0.36572854834732305
Pop_2,High,0.3197722730778381
Pop_2,High,0.3838714288333991
Pop_2,High,0.44040508568145387
Pop_2,High,0.588618590121053
Pop_2,High,0.4174577812831839
Pop_2,High,0.42575503907227646
Pop_2,High,0.3925554084233833
Pop_2,High,0.20812287847009586
Pop_2,High,0.39734861245507835
Pop_2,High,0.40602302099410265
Pop_2,High,0.6463242112485287
Pop_2,High,0.38076390352188777
Pop_2,High,0.43015473423336126
Pop_2,High,0.3965288230294757
Pop_2,High,0.2831321962380468
Pop_2,High,0.5142822814515021
Pop_2,High,0.4751933032686774
Pop_3,Ambient,1.0791031947043046
Pop_3,Ambient,0.9090612545205261
Pop_3,Ambient,1.14027943109361
Pop_3,Ambient,0.8598148937207719
Pop_3,Ambient,1.058685709380027
Pop_3,Ambient,1.219045562580998
Pop_3,Ambient,0.9009463674869311
Pop_3,Ambient,0.9433702270397228
Pop_3,Ambient,1.009965136508764
Pop_3,Ambient,0.9496524345883801
Pop_3,Ambient,0.8449336568933867
Pop_3,Ambient,1.0068562974806028
Pop_3,Ambient,0.8937696286273895
Pop_3,Ambient,1.0473592430635181
Pop_3,Ambient,0.9080575765766197
Pop_3,Ambient,1.154993440501754
Pop_3,Ambient,0.9216746707663763
Pop_3,Ambient,0.9677938483794324
Pop_3,Ambient,1.081351721736967
Pop_3,Ambient,0.8769135683566045
Pop_3,Moderate,0.772745993460413
Pop_3,Moderate,0.8807142754282429
Pop_3,Moderate,0.5892516765438772
Pop_3,Moderate,0.7684633858532304
Pop_3,Moderate,0.7759882794248424
Pop_3,Moderate,0.828182287177731
Pop_3,Moderate,0.6263049289121918
Pop_3,Moderate,0.6179543386915723
Pop_3,Moderate,0.8021941565616898
Pop_3,Moderate,0.7796984673233186
Pop_3,Moderate,0.7750492850345877
Pop_3,Moderate,0.7846448209496976
Pop_3,Moderate,0.681997527842151
Pop_3,Moderate,0.7732253697161003
Pop_3,Moderate,0.7793072473298681
Pop_3,Moderate,0.6785648581973632
Pop_3,Moderate,0.9365774511144757
Pop_3,Moderate,0.7973832920911788
Pop_3,Moderate,0.6308696502797351
Pop_3,Moderate,0.815655360863383
Pop_3,High,0.40253183297726786
Pop_3,High,0.5787084603742452
Pop_3,High,0.6158595579007404
Pop_3,High,0.41793176816482897
Pop_3,High,0.5963376129244322
Pop_3,High,0.5412780926936498
Pop_3,High,0.582206015999449
Pop_3,High,0.6896792982653948
Pop_3,High,0.47546118839971296
Pop_3,High,0.42462638356425103
Pop_3,High,0.4110485570374477
Pop_3,High,0.4184189715034562
Pop_3,High,0.4922898290585896
Pop_3,High,0.5341151974816644
Pop_3,High,0.5276690799330019
Pop_3,High,0.5827183249036024
Pop_3,High,0.5013001891877907
Pop_3,High,0.6453534077157317
Pop_3,High,0.4735343166762044
Pop_3,High,0.7720169166589619
Pop_4,Ambient,1.0625667347765007
Pop_4,Ambient,0.9142842443583717
Pop_4,Ambient,0.8929107501938888
Pop_4,Ambient,1.0482472415243185
Pop_4,Ambient,0.9776537214674149
Pop_4,Ambient,1.0714000494092093
Pop_4,Ambient,1.0473237624573546
Pop_4,Ambient,0.9927171087343127
Pop_4,Ambient,0.9153206281931595
Pop_4,Ambient,0.8485152775314135
Pop_4,Ambient,0.9553485047932979
Pop_4,Ambient,1.0856398794323472
Pop_4,Ambient,1.0214093744130204
Pop_4,Ambient,0.8754261221288012
Pop_4,Ambient,1.0173180925851182
Pop_4,Ambient,1.0385317379728838
Pop_4,Ambient,0.9116142563798867
Pop_4,Ambient,1.0153725105945528
Pop_4,Ambient,1.0058208718446
Pop_4,Ambient,0.8857029702169377
Pop_4,Moderate,0.8357787360348283
Pop_4,Moderate,0.8560784526368235
Pop_4,Moderate,0.9083051243175277
Pop_4,Moderate,0.9053802052034904
Pop_4,Moderate,0.662233063204291
Pop_4,Moderate,0.7062174960084877
Pop_4,Moderate,0.851503526720866
Pop_4,Moderate,0.8513785950912209
Pop_4,Moderate,0.8515047686306049
Pop_4,Moderate,1.1852731490654722
Pop_4,Moderate,0.8570890510693168
Pop_4,Moderate,0.91355656401806
Pop_4,Moderate,0.8954001763493202
Pop_4,Moderate,0.8651391251305799
Pop_4,Moderate,0.7684730755359654
Pop_4,Moderate,0.8758969220493268
Pop_4,Moderate,0.7227174785462429
Pop_4,Moderate,0.7763181393259991
Pop_4,Moderate,0.7514636452170897
Pop_4,Moderate,0.8081874139386322
Pop_4,High,0.6314658566673509
Pop_4,High,0.2132734807408252
Pop_4,High,0.4686260190374514
Pop_4,High,0.23872841288103486
Pop_4,High,0.3528068134210567
Pop_4,High,0.5088950596967367
Pop_4,High,0.4064280019095463
Pop_4,High,0.29222552220706943
Pop_4,High,0.3284696290740032
Pop_4,High,0.46795977489346763
Pop_4,High,0.3269633368282864
Pop_4,High,0.4216458589581975
Pop_4,High,0.4045571839903814
Pop_4,High,0.3348399652394183
Pop_4,High,0.6143944089325326
Pop_4,High,0.46339190223180116
Pop_4,High,0.1974857413342393
Pop_4,High,0.4186454314769428
Pop_4,High,0.3338213535231612
Pop_4,High,0.48524333347962245
Pop_5,Ambient,0.92074792615673
Pop_5,Ambient,0.9885263558533101
Pop_5,Ambient,1.0504987278980458
Pop_5,Ambient,1.0865755194170121
Pop_5,Ambient,0.8799703592944224
Pop_5,Ambient,0.9665498764159052
Pop_5,Ambient,0.9525054688839044
Pop_5,Ambient,0.9346670767426288
Pop_5,Ambient,1.1765454240281097
Pop_5,Ambient,1.0404981710960957
Pop_5,Ambient,0.8739116045664954
Pop_5,Ambient,1.0917861947054777
Pop_5,Ambient,1.2122156197012632
Pop_5,Ambient,1.1032465260551148
Pop_5,Ambient,0.8480630034045986
Pop_5,Ambient,0.9515765927133748
Pop_5,Ambient,1.1266911149186623
Pop_5,Ambient,0.9292330534381219
Pop_5,Ambient,1.0443819428146228
Pop_5,Ambient,1.0774634053429337
Pop_5,Moderate,0.6573069528421918
Pop_5,Moderate,0.74404746439382
Pop_5,Moderate,0.4258732659930927
Pop_5,Moderate,0.647561235866571
Pop_5,Moderate,0.724743184860684
Pop_5,Moderate,0.625221681803515
Pop_5,Moderate,0.9132411303931636
Pop_5,Moderate,0.6069858622039367
Pop_5,Moderate,0.7059955513303016
Pop_5,Moderate,0.7630740577286091
Pop_5,Moderate,0.8941273289066116
Pop_5,Moderate,0.6064137848820561
Pop_5,Moderate,0.866316375215496
Pop_5,Moderate,0.7510233061019587
Pop_5,Moderate,0.6518491348952049
Pop_5,Moderate,0.7962103474263271
Pop_5,Moderate,0.769905969557347
Pop_5,Moderate,0.6899783122841205
Pop_5,Moderate,0.7569802084990019
Pop_5,Moderate,0.711468640313824
Pop_5,High,0.5113517345251248
Pop_5,High,0.5662130674521046
Pop_5,High,0.6586016816145353
Pop_5,High,0.3762184501173151
Pop_5,High,0.7133033374656267
Pop_5,High,0.30479122004774983
Pop_5,High,0.4848214904964417
Pop_5,High,0.5588317206484577
Pop_5,High,0.5280991867735033
Pop_5,High,0.43773004801794063
Pop_5,High,0.47918777496427245
Pop_5,High,0.45069990653411673
Pop_5,High,0.4410635243055788
Pop_5,High,0.5849602097021025
Pop_5,High,0.5357015485965048
Pop_5,High,0.43070904047393455
Pop_5,High,0.589959987543325
Pop_5,High,0.5307299520876609
Pop_5,High,0.581286211883896
Pop_5,High,0.5629628841923612
