"","spname","spcode","trophicgroup","minsize_cm","maxsize_cm","psu","depth_m","relief_m","mpa","density","presabs","prot"
"15","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5011_2021",11.8872,-0.881738350367495,NA,10.5,1,"unprotected"
"16","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5015_2019",27.5844,-0.134531892958106,NA,14.5,1,"unprotected"
"17","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5015_2021",27.2796,-0.889162064485903,NA,6.5,1,"unprotected"
"18","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5016_2019",22.2504,-1.07148362127986,NA,13,1,"unprotected"
"19","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5016_2021",27.432,-1.25526609871349,NA,10.5,1,"unprotected"
"20","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5017_2019",24.9936,-1.1239300966524,NA,26,1,"unprotected"
"21","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5017_2021",29.8704,-0.629233854816292,NA,0.5,1,"unprotected"
"22","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5018_2021",28.3464,-0.577588839925673,NA,3,1,"unprotected"
"23","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5019_2019",26.3652,-1.53711725085447,NA,4,1,"unprotected"
"24","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5019_2021",29.1084,-1.19567400151124,NA,5,1,"unprotected"
"25","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5021_2019",28.8036,-0.527632742082372,NA,10,1,"unprotected"
"26","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5021_2021",29.2608,0.069992371820035,NA,8.5,1,"unprotected"
"27","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5023_2019",26.67,-1.19319773115798,NA,19.5,1,"unprotected"
"28","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5024_2019",27.7368,-0.584741306716159,NA,11.5,1,"unprotected"
"29","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5025_2019",25.908,-1.48280526150073,"VICRNM",7,1,"protected"
"30","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5025_2021",26.8224,-1.27296567581289,NA,6.5,1,"unprotected"
"31","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5026_2019",28.8036,-0.669430653942629,NA,19.5,1,"unprotected"
"32","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5027_2019",28.6512,-0.949976789528962,NA,19,1,"unprotected"
"33","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5028_2021",24.8412,-0.207639364778244,NA,6.5,1,"unprotected"
"34","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5029_2021",26.5176,-0.693647305601628,NA,0.5,1,"unprotected"
"35","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5030_2019",26.5176,-1.53828071811777,NA,18.5,1,"unprotected"
"36","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5030_2021",26.9748,-0.136106132996992,NA,16.5,1,"unprotected"
"37","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5031_2019",26.8224,-0.27279345995803,NA,2,1,"unprotected"
"38","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5032_2019",26.8224,-0.566074097996469,NA,9.5,1,"unprotected"
"39","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5035_2019",23.3172,-1.62201669464096,"VICRNM",8.5,1,"protected"
"40","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5035_2021",28.0416,-0.768409665060492,NA,25.5,1,"unprotected"
"41","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5037_2019",23.0124,-1.83258146374831,"VICRNM",0,0,"protected"
"42","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5037_2021",27.5844,-0.757685701697516,NA,14.5,1,"unprotected"
"43","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5039_2019",20.574,-1.35189293440256,NA,9.5,1,"unprotected"
"44","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5040_2019",26.3652,-1.28644902615017,NA,11.5,1,"unprotected"
"45","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5041_2019",24.2316,-1.10866262452161,NA,1,1,"unprotected"
"46","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5042_2019",26.8224,-2.11403298644945,NA,0,0,"unprotected"
"47","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5043_2019",24.0792,-2.11403298644945,NA,2,1,"unprotected"
"48","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5044_2019",11.5824,-0.452163711117405,NA,18.5,1,"unprotected"
"49","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5044_2021",28.6512,-1.77342851254333,NA,1,1,"unprotected"
"50","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5045_2019",8.0772,0.355924662548028,NA,5,1,"unprotected"
"51","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5046_2021",26.67,-1.38329885214009,NA,15.5,1,"unprotected"
"52","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5047_2019",24.0792,-1.09362474715707,NA,0,0,"unprotected"
"53","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5048_2021",26.2128,-1.03212254739928,NA,13,1,"unprotected"
"54","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5050_2019",19.05,-2.0616016235515,NA,2,1,"unprotected"
"55","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5051_2019",27.2796,-2.24196047117761,NA,0,0,"unprotected"
"56","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5051_2021",26.67,-0.925709953790647,"VICRNM",0.5,1,"protected"
"57","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5053_2019",23.7744,-1.17522339103995,NA,5,1,"unprotected"
"58","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5053_2021",27.5844,-1.93967959930468,NA,0,0,"unprotected"
"59","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5054_2019",20.574,-0.72038991695382,NA,4,1,"unprotected"
"60","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5055_2019",25.7556,-0.515000995176471,NA,5.5,1,"unprotected"
"61","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5056_2019",27.5844,-2.10373423424888,NA,0,0,"unprotected"
"62","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5056_2021",26.0604,-1.23357327410223,NA,8,1,"unprotected"
"63","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5057_2021",23.1648,-1.26407672839564,NA,6,1,"unprotected"
"64","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5060_2021",28.4988,-1.91562345645044,NA,0,0,"unprotected"
"65","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5061_2019",25.4508,-0.347785996521486,NA,5.5,1,"unprotected"
"66","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5063_2019",29.5656,-0.351687402427693,NA,1,1,"unprotected"
"67","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5064_2019",29.718,-1.1833535171232,"VICRNM",0,0,"protected"
"68","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5066_2019",27.1272,-0.62548853208613,"VICRNM",1,1,"protected"
"69","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5067_2019",14.3256,-1.6094379124341,NA,0,0,"unprotected"
"70","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5069_2019",29.4132,0.211475746446528,NA,0,0,"unprotected"
"71","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5069_2021",24.2316,-1.11245769549016,NA,10,1,"unprotected"
"72","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5072_2019",24.2316,-2.25856820757727,NA,0,0,"unprotected"
"73","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5072_2021",20.7264,-1.93967959930468,NA,3,1,"unprotected"
"74","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5073_2019",26.3652,-1.27743995620781,NA,5,1,"unprotected"
"75","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5074_2019",27.7368,-0.393783603334326,"VICRNM",8.5,1,"protected"
"76","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5074_2021",28.194,-0.701305368261409,NA,0,0,"unprotected"
"77","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5075_2019",19.05,-2.0306513775104,"VICRNM",3.5,1,"protected"
"78","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5076_2019",26.0604,-2.30258509299405,NA,0,0,"unprotected"
"79","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5077_2021",25.2984,-1.10942048738471,NA,6.5,1,"unprotected"
"80","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5078_2019",23.7744,-0.944818815488693,NA,6.5,1,"unprotected"
"81","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5079_2021",24.2316,-1.18744350237473,NA,9.5,1,"unprotected"
"82","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5080_2019",26.2128,-1.60320736268346,"VICRNM",0,0,"protected"
"83","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5081_2019",21.1836,-0.11723631013802,"VICRNM",11.5,1,"protected"
"84","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5083_2019",19.05,-0.601936300506561,"VICRNM",3.5,1,"protected"
"85","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5086_2021",17.526,-1.49054438249369,NA,4,1,"unprotected"
"86","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5087_2019",15.5448,-2.10373423424888,NA,3.5,1,"unprotected"
"87","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5088_2019",12.192,-1.12778366596839,"STEER",0.5,1,"protected"
"88","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5088_2021",10.5156,-0.113728765328343,NA,0.5,1,"unprotected"
"89","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5089_2019",15.24,-1.79878408416502,"VIIS",0,0,"protected"
"90","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5089_2021",26.5176,-1.89711998488588,"VICRNM",0,0,"protected"
"91","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5090_2019",13.4112,-0.79684241689871,NA,4.5,1,"unprotected"
"92","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5090_2021",26.5176,-1.49165487677772,NA,10,1,"unprotected"
"93","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5093_2019",14.7828,-1.40140799892994,"STEER",0,0,"protected"
"94","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5094_2019",8.2296,-2.30258509299405,"STEER",0,0,"protected"
"95","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5095_2021",17.3736,-0.706232420108601,"STEER",3,1,"protected"
"96","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5096_2019",13.2588,1.08856195281461,"VIIS",2.5,1,"protected"
"97","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5099_2019",13.1064,-1.35867919408692,"STEER",0,0,"protected"
"98","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5100_2019",4.4196,-1.4502996910958,"STEER",0.5,1,"protected"
"99","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5100_2021",9.7536,-2.18480205733766,NA,0,0,"unprotected"
"100","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5102_2019",20.8788,0.0618004009054468,"VICRNM",2.5,1,"protected"
"101","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5102_2021",29.1084,-2.16282315061889,"VIIS",0,0,"protected"
"102","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5103_2021",7.1628,-0.966926347842735,NA,1,1,"unprotected"
"103","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5104_2021",21.336,-1.58963528513792,NA,3.5,1,"unprotected"
"104","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5105_2019",8.2296,0.318090028623163,"STEER",0,0,"protected"
"105","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5107_2021",26.2128,-0.755022584278033,"VICRNM",3.5,1,"protected"
"106","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5108_2019",14.7828,0.117449646755146,NA,2.5,1,"unprotected"
"107","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5111_2019",16.3068,-0.295378279086251,"VICRNM",5,1,"protected"
"108","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5112_2019",13.4112,-1.21234105399645,"STEER",0,0,"protected"
"109","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5113_2019",11.1252,-1.82325013631943,"STEER",0.5,1,"protected"
"110","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5113_2021",11.1252,-2.27789248040367,NA,0,0,"unprotected"
"111","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5114_2019",8.2296,-0.613873999665437,"VIIS",1.5,1,"protected"
"112","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5116_2019",14.3256,-0.256506454983331,"STEER",0.5,1,"protected"
"113","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5116_2021",25.4508,-0.932674211124679,NA,1,1,"unprotected"
"114","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5118_2019",21.4884,-1.26407672839564,"VICRNM",0.5,1,"protected"
"115","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5118_2021",6.858,-1.64118661074868,NA,5,1,"unprotected"
"116","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5121_2021",13.5636,-0.304489190768162,"VIIS",0,0,"protected"
"117","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5122_2019",26.3652,-0.801289339179649,NA,15.5,1,"unprotected"
"118","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5123_2019",22.7076,-1.49722592182717,NA,0,0,"unprotected"
"119","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5123_2021",23.7744,-1.62455155024415,NA,2,1,"unprotected"
"120","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5124_2021",6.7056,-0.344252423940175,"STEER",1,1,"protected"
"121","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5125_2019",14.0208,-1.1833535171232,"STEER",0,0,"protected"
"122","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5126_2019",18.288,-0.536143431750281,"VICRNM",8,1,"protected"
"123","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5128_2021",25.2984,-1.58230924504585,NA,1.5,1,"unprotected"
"124","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5129_2019",10.2108,-2.11403298644945,"STEER",0,0,"protected"
"125","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5130_2021",16.764,-2.04988273943829,"VIIS",0,0,"protected"
"126","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5131_2019",9.4488,-1.29098418131557,"STEER",2.5,1,"protected"
"127","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5132_2019",7.0104,-0.7339691750802,"STEER",0,0,"protected"
"128","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5133_2019",12.4968,-0.595566852221081,"STEER",10.5,1,"protected"
"129","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5135_2019",4.2672,-1.5255564284534,"STEER",0,0,"protected"
"130","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5136_2019",8.5344,-1.30379313960815,"STEER",0,0,"protected"
"131","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5137_2021",24.2316,0.141499562273699,"VICRNM",0.5,1,"protected"
"132","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5140_2021",12.4968,-1.84042464120934,"VIIS",0,0,"protected"
"133","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5142_2019",8.2296,0.0198026272961797,"STEER",0,0,"protected"
"134","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5143_2019",23.9268,-1.39030238251743,NA,0.5,1,"unprotected"
"135","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5144_2019",2.1336,-1.17928019173556,"STEER",0,0,"protected"
"136","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5145_2019",12.8016,-2.11403298644945,"STEER",0,0,"protected"
"137","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5147_2019",3.3528,-1.6476591252543,"STEER",0,0,"protected"
"138","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5147_2021",26.3652,-1.71479842809193,NA,2,1,"unprotected"
"139","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5148_2021",24.6888,-0.196014883925957,NA,3.5,1,"unprotected"
"140","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5149_2019",10.3632,-0.839329690738027,"STEER",0,0,"protected"
"141","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5149_2021",2.286,-1.10036382170692,"VIIS",0,0,"protected"
"142","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5152_2019",26.0604,-1.22672979144855,NA,57.5,1,"unprotected"
"143","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5152_2021",23.4696,-2.03829959834866,NA,0,0,"unprotected"
"144","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5154_2021",3.5052,-1.39130690294343,"VIIS",0,0,"protected"
"145","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5155_2019",2.1336,-1.70787798524735,"STEER",0,0,"protected"
"146","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5156_2019",11.5824,-0.693772375953864,"STEER",0,0,"protected"
"147","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5157_2021",21.7932,0.229324410389291,"VICRNM",1,1,"protected"
"148","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5158_2019",1.9812,-2.24196047117761,NA,0,0,"unprotected"
"149","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5161_2019",1.9812,-2.18480205733766,"STEER",0,0,"protected"
"150","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5162_2019",16.002,-1.69690393821538,"STEER",2.5,1,"protected"
"151","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5162_2021",13.8684,-0.990206414824323,"STEER",0,0,"protected"
"152","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5163_2019",18.8976,0.139761942375159,NA,4.5,1,"unprotected"
"153","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5163_2021",23.4696,-1.21234105399645,NA,2,1,"unprotected"
"154","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5164_2019",4.8768,-0.0739156829501682,"STEER",0.5,1,"protected"
"155","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5164_2021",14.6304,-1.58474529984373,"STEER",0,0,"protected"
"156","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5165_2019",23.4696,1.02051560293169,NA,1.5,1,"unprotected"
"157","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5166_2019",27.5844,-2.11610552605143,NA,0.5,1,"unprotected"
"158","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5166_2021",8.0772,-1.07257911162129,"VIIS",1.5,1,"protected"
"159","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5167_2019",2.5908,-1.53247687129797,"STEER",6,1,"protected"
"160","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5167_2021",26.5176,-1.18417017702976,NA,1.5,1,"unprotected"
"161","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5168_2021",12.8016,-1.30011666487884,"STEER",0,0,"protected"
"162","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5169_2019",13.1064,-1.59331853055422,NA,2,1,"unprotected"
"163","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5171_2019",25.6032,0.186479566942618,NA,0.5,1,"unprotected"
"164","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5172_2021",28.3464,-1.57866625376735,NA,0,0,"unprotected"
"165","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5175_2019",6.5532,-1.00443911865086,NA,0,0,"unprotected"
"166","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5177_2019",8.9916,-0.692147680226862,NA,0,0,"unprotected"
"167","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5177_2021",8.9916,-0.635822113940676,"STEER",0,0,"protected"
"168","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5178_2019",2.8956,-0.575364144903562,NA,0,0,"unprotected"
"169","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5180_2021",9.7536,-0.756086980333819,"STEER",0,0,"protected"
"170","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5181_2021",6.7056,-0.234141305523751,NA,0,0,"unprotected"
"171","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5182_2019",21.336,-0.894651556770674,NA,0,0,"unprotected"
"172","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5183_2019",4.4196,-1.36693300764127,NA,0,0,"unprotected"
"173","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5184_2021",23.7744,-2.14131694539792,NA,1,1,"unprotected"
"174","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5185_2021",3.5052,-1.62201669464096,"STEER",0,0,"protected"
"175","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5188_2019",6.5532,0.222143050980626,NA,1,1,"unprotected"
"176","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5188_2021",24.384,-1.73585183728976,NA,9.5,1,"unprotected"
"177","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5189_2021",27.2796,-1.29007550337935,NA,4.5,1,"unprotected"
"178","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5190_2021",7.62,-1.54881329061767,"STEER",6,1,"protected"
"179","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5194_2021",12.4968,-1.00785792539965,NA,0,0,"unprotected"
"180","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5195_2019",11.1252,-1.79426259944617,"VICRNM",0,0,"protected"
"181","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5197_2019",10.3632,-0.890988549011937,"VICRNM",19,1,"protected"
"182","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5197_2021",22.2504,-2.01178289320602,NA,0,0,"unprotected"
"183","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5198_2019",9.2964,-1.87242737229551,"VICRNM",0,0,"protected"
"184","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5199_2019",29.5656,-2.18480205733766,NA,0,0,"unprotected"
"185","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5201_2019",18.1356,-0.44628710262842,"VICRNM",0.5,1,"protected"
"186","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5202_2019",6.096,-0.618503637564179,NA,0,0,"unprotected"
"187","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5203_2019",5.7912,-0.588787165235702,"VICRNM",0,0,"protected"
"188","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5204_2019",3.9624,-0.584292775647863,NA,0,0,"unprotected"
"189","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5205_2019",2.7432,-1.03423002973884,NA,0,0,"unprotected"
"190","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5206_2019",10.3632,-0.995942890821774,NA,0,0,"unprotected"
"191","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5210_2019",14.3256,-0.609035837941293,NA,0.5,1,"unprotected"
"192","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5211_2021",5.0292,-0.974184710293058,NA,0,0,"unprotected"
"193","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5212_2021",10.2108,-0.191463214711238,NA,0.5,1,"unprotected"
"194","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5213_2019",17.6784,-0.127833371509885,NA,0,0,"unprotected"
"195","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5214_2019",8.5344,-1.34707364796661,NA,0,0,"unprotected"
"196","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5215_2019",3.3528,-1.13553564277271,"VICRNM",0,0,"protected"
"197","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5215_2021",9.906,-1.17522339103995,NA,2.5,1,"unprotected"
"198","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5216_2019",6.4008,0.359421169606758,"VICRNM",0,0,"protected"
"199","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5218_2019",5.7912,-1.00103196032925,NA,0.5,1,"unprotected"
"200","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5218_2021",5.7912,-0.420832585239286,NA,9,1,"unprotected"
"201","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5221_2019",5.334,-2.24196047117761,"VIIS",0,0,"protected"
"202","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5224_2019",4.8768,-0.592736394628033,"VICRNM",0,0,"protected"
"203","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5226_2019",19.2024,-1.96077001196234,NA,0,0,"unprotected"
"204","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5227_2019",20.8788,-0.396753167506143,"VIIS",5,1,"protected"
"205","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5228_2019",4.7244,-1.37634403026672,"VICRNM",1.5,1,"protected"
"206","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5230_2019",5.1816,-0.0431684954013787,"VICRNM",0,0,"protected"
"207","Scarus taeniopterus","SCA TAEN","herbivore",5,33,"5230_2021",28.3464,-2.15201223451467,NA,0,0,"unprotected"
